BehaviorID,PredicateName,File,Section,Category,Format
B0001,AddedToCase,B0001.AddedToCase.yaml,1,Behavior/SessionNavigation,generic
B0002,Closed,B0002.Closed.yaml,1,Behavior/SessionNavigation,generic
B0003,MarkedPriority,B0003.MarkedPriority.yaml,1,Behavior/SessionNavigation,generic
B0004,Opened,B0004.Opened.yaml,1,Behavior/SessionNavigation,generic
B0005,OpenedSafely,B0005.OpenedSafely.yaml,1,Behavior/SessionNavigation,generic
B0006,Pinned,B0006.Pinned.yaml,1,Behavior/SessionNavigation,generic
B0007,SwitchedFocus,B0007.SwitchedFocus.yaml,1,Behavior/SessionNavigation,generic
B0008,SwitchedWorkspace,B0008.SwitchedWorkspace.yaml,1,Behavior/SessionNavigation,generic
B0009,ComputedHashes,B0009.ComputedHashes.yaml,2,Behavior/ReputationProvenance,generic
B0010,QueriedThreatIntel,B0010.QueriedThreatIntel.yaml,2,Behavior/ReputationProvenance,generic
B0011,VerifiedSignature,B0011.VerifiedSignature.yaml,2,Behavior/ReputationProvenance,generic
B0012,ViewedHashes,B0012.ViewedHashes.yaml,2,Behavior/ReputationProvenance,generic
B0013,ViewedMOTW,B0013.ViewedMOTW.yaml,2,Behavior/ReputationProvenance,generic
B0014,ViewedOrigin,B0014.ViewedOrigin.yaml,2,Behavior/ReputationProvenance,generic
B0015,ViewedSignature,B0015.ViewedSignature.yaml,2,Behavior/ReputationProvenance,generic
B0016,CarvedEmbeddedFiles,B0016.CarvedEmbeddedFiles.yaml,3,Behavior/StringsBlobsCarving,generic
B0017,DecodedBase64Blobs,B0017.DecodedBase64Blobs.yaml,3,Behavior/StringsBlobsCarving,generic
B0018,DecodedHexBlobs,B0018.DecodedHexBlobs.yaml,3,Behavior/StringsBlobsCarving,generic
B0019,ExtractedStrings,B0019.ExtractedStrings.yaml,3,Behavior/StringsBlobsCarving,generic
B0020,ExtractedUrls,B0020.ExtractedUrls.yaml,3,Behavior/StringsBlobsCarving,generic
B0021,NormalizedStrings,B0021.NormalizedStrings.yaml,3,Behavior/StringsBlobsCarving,generic
B0022,ViewedDecodedResults,B0022.ViewedDecodedResults.yaml,3,Behavior/StringsBlobsCarving,generic
B0023,ViewedStrings,B0023.ViewedStrings.yaml,3,Behavior/StringsBlobsCarving,generic
B0024,DecompiledVBA,B0024.DecompiledVBA.yaml,4,Behavior/OfficeWordMacros,OOXML/OLE
