PredicateID,PredicateName,File,Section,Category,Format
P0001,Arguments,P0001.Arguments.yaml,1,Static/TypeContainer,generic
P0002,HasExcel4Macros,P0002.HasExcel4Macros.yaml,1,Static/TypeContainer,generic
P0003,IsArchive,P0003.IsArchive.yaml,1,Static/TypeContainer,ZIP/RAR/7z/TAR
P0004,IsBatchScript,P0004.IsBatchScript.yaml,1,Static/TypeContainer,Batch
P0005,IsChm,P0005.IsChm.yaml,1,Static/TypeContainer,CHM
P0006,IsDmg,P0006.IsDmg.yaml,1,Static/TypeContainer,ISO/VHDX/DMG
P0007,IsDoc,P0007.IsDoc.yaml,1,Static/TypeContainer,OOXML/OLE/RTF
P0008,IsDocm,P0008.IsDocm.yaml,1,Static/TypeContainer,OOXML/OLE/RTF
P0009,IsDocx,P0009.IsDocx.yaml,1,Static/TypeContainer,OOXML/OLE/RTF
P0010,IsDriver,P0010.IsDriver.yaml,1,Static/TypeContainer,PE
P0011,IsElf,P0011.IsElf.yaml,1,Static/TypeContainer,ELF
P0012,IsEmailMessage,P0012.IsEmailMessage.yaml,1,Static/TypeContainer,EML/MSG
P0013,IsExcel,P0013.IsExcel.yaml,1,Static/TypeContainer,OOXML/OLE
P0014,IsHTA,P0014.IsHTA.yaml,1,Static/TypeContainer,HTA
P0015,IsHtml,P0015.IsHtml.yaml,1,Static/TypeContainer,HTML
P0016,IsInstaller,P0016.IsInstaller.yaml,1,Static/TypeContainer,MSI/InstallShield
P0017,IsIso,P0017.IsIso.yaml,1,Static/TypeContainer,ISO/VHDX/DMG
P0018,IsJar,P0018.IsJar.yaml,1,Static/TypeContainer,JAR/ZIP
P0019,IsJScript,P0019.IsJScript.yaml,1,Static/TypeContainer,JS
P0020,IsLnk,P0020.IsLnk.yaml,1,Static/TypeContainer,LNK
P0021,IsMachO,P0021.IsMachO.yaml,1,Static/TypeContainer,Mach-O/Universal
P0022,IsPdf,P0022.IsPdf.yaml,1,Static/TypeContainer,PDF
P0023,IsPe,P0023.IsPe.yaml,1,Static/TypeContainer,PE
P0024,IsPowerPoint,P0024.IsPowerPoint.yaml,1,Static/TypeContainer,generic
P0025,IsPowerShellScript,P0025.IsPowerShellScript.yaml,1,Static/TypeContainer,PowerShell
P0026,IsPpt,P0026.IsPpt.yaml,1,Static/TypeContainer,OOXML/OLE
P0027,IsPptm,P0027.IsPptm.yaml,1,Static/TypeContainer,OOXML/OLE
P0028,IsPptx,P0028.IsPptx.yaml,1,Static/TypeContainer,OOXML/OLE
P0029,IsRtf,P0029.IsRtf.yaml,1,Static/TypeContainer,RTF
P0030,IsScript,P0030.IsScript.yaml,1,Static/TypeContainer,Script
